,ID,Name,Taxonomy,species group,species id,reference_lib,false_pos_prone,Combined,Min,Max,Mean,Median,Std,sample_abund,control_abund,sample_normalized,control_normalized,normalized_corrected,S:N,sample,control,mode
3568,Uncultured beta proteobacterium; FJ975788.1.1359,FJ975788.1.1359,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Uncultured beta proteobacterium,Uncultured beta proteobacterium, FJ975788.1.1359,PanBac,No,5303,0,1829,482.09090909090907,11,806.6615714840339,1671,0,320.193678,0.0,320.193678,inf,BFTMS23111403,BFTMS23111401,PanBac_strict
351,Bacillus halotolerans; JN585825.1.1407,JN585825.1.1407,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus halotolerans,Bacillus halotolerans, JN585825.1.1407,PanBac,No,3394,0,720,308.54545454545456,362,313.98769518449717,398,0,104.59838,0.0,104.59838,inf,BFTMS23111413,BFTMS23111401,PanBac_strict
3965,Bacillus subtilis subsp. spizizenii str. W23; CP002183.160851.162409,CP002183.160851.162409,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis subsp. spizizenii str. W23,Bacillus subtilis subsp. spizizenii str. W23, CP002183.160851.162409,PanBac,No,6261,0,1720,569.1818181818181,377,660.2662823712594,377,0,99.07937,0.0,99.07937,inf,BFTMS23111413,BFTMS23111401,PanBac_strict
6858,Staphylococcus sp. zf-IRht16; DQ223661.1.1462,DQ223661.1.1462,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus sp. zf-IRht16,Staphylococcus sp. zf-IRht16, DQ223661.1.1462,PanBac,No,3188,0,820,289.8181818181818,321,289.78364970502327,342,0,89.88102,0.0,89.88102,inf,BFTMS23111413,BFTMS23111401,PanBac_strict
89,Enterococcus sp. L177(2011); JN104594.1.1492,JN104594.1.1492,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus sp. L177(2011),Enterococcus sp. L177(2011), JN104594.1.1492,PanBac,No,3371,0,799,306.45454545454544,252,335.48870730215754,305,0,80.15705,0.0,80.15705,inf,BFTMS23111413,BFTMS23111401,PanBac_strict
4073,Bacillus subtilis subsp. spizizenii str. W23; CP002183.613684.615242,CP002183.613684.615242,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis subsp. spizizenii str. W23,Bacillus subtilis subsp. spizizenii str. W23, CP002183.613684.615242,PanBac,No,4056,0,1081,368.72727272727275,302,415.00990130576184,302,0,79.36862,0.0,79.36862,inf,BFTMS23111413,BFTMS23111401,PanBac_strict
2812,Salmonella sp. 1211; KF509916.1.1301,KF509916.1.1301,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella sp. 1211,Salmonella sp. 1211, KF509916.1.1301,PanBac,No,1614,0,346,146.72727272727272,202,144.4334385861466,277,0,72.79837,0.0,72.79837,inf,BFTMS23111413,BFTMS23111401,PanBac_strict
4370,Enterococcus faecalis ARO1/DG; CP022488.2668529.2670093,CP022488.2668529.2670093,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis ARO1/DG,Enterococcus faecalis ARO1/DG, CP022488.2668529.2670093,PanBac,No,3394,0,806,308.54545454545456,264,339.26195296153196,264,0,69.38184,0.0,69.38184,inf,BFTMS23111413,BFTMS23111401,PanBac_strict
364,Listeria monocytogenes ATCC 19115; AX415050.1269.2799,AX415050.1269.2799,Bacteria; Firmicutes; Bacilli; Lactobacillales; Listeriaceae; Listeria; Listeria monocytogenes ATCC 19115,Listeria monocytogenes ATCC 19115, AX415050.1269.2799,PanBac,No,21208,0,5295,1928.0,1208,2167.4371963219605,3463,0,3708.620201,0.0,3708.620201,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
5799,Escherichia sp. enrichment culture clone NBAR018; GU644482.1.1382,GU644482.1.1382,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Escherichia sp. enrichment culture clone NBAR018,Escherichia sp. enrichment culture clone NBAR018, GU644482.1.1382,PanBac,No,28767,11,5878,2615.181818181818,2062,2050.495736068808,2928,11,3135.674256,1.546864,3134.127392,2026.1169643873022,BFTMS23111414,BFTMS23111401,PanBac_strict
178,Lactobacillus fermentum; JN175331.1.1502,JN175331.1.1502,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus; Lactobacillus fermentum,Lactobacillus fermentum, JN175331.1.1502,PanBac,No,10504,0,2337,954.9090909090909,1063,993.4736488247139,1650,5,1767.02955,0.70312,1766.32643,2512.1265644555697,BFTMS23111414,BFTMS23111401,PanBac_strict
809,Bacillus sp. B12; EU362158.1.1515,EU362158.1.1515,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus sp. B12,Bacillus sp. B12, EU362158.1.1515,PanBac,No,8409,0,2212,764.4545454545455,517,883.5519637957196,994,0,1064.501438,0.0,1064.501438,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
3965,Bacillus subtilis subsp. spizizenii str. W23; CP002183.160851.162409,CP002183.160851.162409,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis subsp. spizizenii str. W23,Bacillus subtilis subsp. spizizenii str. W23, CP002183.160851.162409,PanBac,No,6261,0,1720,569.1818181818181,377,660.2662823712594,763,0,817.117301,0.0,817.117301,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
351,Bacillus halotolerans; JN585825.1.1407,JN585825.1.1407,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus halotolerans,Bacillus halotolerans, JN585825.1.1407,PanBac,No,3394,0,720,308.54545454545456,362,313.98769518449717,695,0,744.294265,0.0,744.294265,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
128,Enterococcus faecalis; KY630654.1.1452,KY630654.1.1452,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis,Enterococcus faecalis, KY630654.1.1452,PanBac,No,4174,0,987,379.45454545454544,235,409.442392440344,663,0,710.024601,0.0,710.024601,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
89,Enterococcus sp. L177(2011); JN104594.1.1492,JN104594.1.1492,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus sp. L177(2011),Enterococcus sp. L177(2011), JN104594.1.1492,PanBac,No,3371,0,799,306.45454545454544,252,335.48870730215754,633,0,677.896791,0.0,677.896791,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
4370,Enterococcus faecalis ARO1/DG; CP022488.2668529.2670093,CP022488.2668529.2670093,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis ARO1/DG,Enterococcus faecalis ARO1/DG, CP022488.2668529.2670093,PanBac,No,3394,0,806,308.54545454545456,264,339.26195296153196,592,0,633.988784,0.0,633.988784,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
88,Staphylococcus aureus; JN084549.1.1431,JN084549.1.1431,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084549.1.1431,PanBac,No,5697,0,1480,517.9090909090909,276,526.0396286489174,536,0,574.016872,0.0,574.016872,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
5717,Uncultured bacterium; HQ883956.1.1540,HQ883956.1.1540,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Uncultured bacterium,Uncultured bacterium, HQ883956.1.1540,PanBac,No,6234,1,1608,566.7272727272727,393,512.5836694451143,520,1,556.88204,0.140624,556.741416,3959.078222778473,BFTMS23111414,BFTMS23111401,PanBac_strict
1014,Salmonella sp. XJ-ZG1; JQ404492.1.1380,JQ404492.1.1380,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella sp. XJ-ZG1,Salmonella sp. XJ-ZG1, JQ404492.1.1380,PanBac,No,849,0,518,77.18181818181819,52,150.22970290978958,518,0,554.740186,0.0,554.740186,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
98,Pseudomonas aeruginosa PA38182; HG530068.754687.756210,HG530068.754687.756210,Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa PA38182,Pseudomonas aeruginosa PA38182, HG530068.754687.756210,PanBac,No,2958,0,659,268.90909090909093,287,277.0243507511405,491,1,525.825157,0.140624,525.684533,3738.2277065081353,BFTMS23111414,BFTMS23111401,PanBac_strict
3466,Salmonella enterica subsp. enterica serovar Typhi; LT904877.4419415.4420941,LT904877.4419415.4420941,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica subsp. enterica serovar Typhi, LT904877.4419415.4420941,PanBac,No,3590,0,1020,326.3636363636364,120,375.6400598251663,481,1,515.115887,0.140624,514.975263,3662.072356070088,BFTMS23111414,BFTMS23111401,PanBac_strict
648,Staphylococcus aureus; CP012970.1913319.1914863,CP012970.1913319.1914863,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, CP012970.1913319.1914863,PanBac,No,3390,0,834,308.1818181818182,127,310.7043025713735,467,0,500.122909,0.0,500.122909,inf,BFTMS23111414,BFTMS23111401,PanBac_strict
5799,Escherichia sp. enrichment culture clone NBAR018; GU644482.1.1382,GU644482.1.1382,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Escherichia sp. enrichment culture clone NBAR018,Escherichia sp. enrichment culture clone NBAR018, GU644482.1.1382,PanBac,No,28767,11,5878,2615.181818181818,2062,2050.495736068808,5878,11,6679.418276,1.546864,6677.871412,4317.038480435255,BFTMS23111415,BFTMS23111401,PanBac_strict
364,Listeria monocytogenes ATCC 19115; AX415050.1269.2799,AX415050.1269.2799,Bacteria; Firmicutes; Bacilli; Lactobacillales; Listeriaceae; Listeria; Listeria monocytogenes ATCC 19115,Listeria monocytogenes ATCC 19115, AX415050.1269.2799,PanBac,No,21208,0,5295,1928.0,1208,2167.4371963219605,4994,0,5674.891948,0.0,5674.891948,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
178,Lactobacillus fermentum; JN175331.1.1502,JN175331.1.1502,Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Limosilactobacillus; Lactobacillus fermentum,Lactobacillus fermentum, JN175331.1.1502,PanBac,No,10504,0,2337,954.9090909090909,1063,993.4736488247139,2230,5,2534.04266,0.70312,2533.33954,3602.9974115371488,BFTMS23111415,BFTMS23111401,PanBac_strict
809,Bacillus sp. B12; EU362158.1.1515,EU362158.1.1515,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus sp. B12,Bacillus sp. B12, EU362158.1.1515,PanBac,No,8409,0,2212,764.4545454545455,517,883.5519637957196,2199,0,2498.816058,0.0,2498.816058,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
5717,Uncultured bacterium; HQ883956.1.1540,HQ883956.1.1540,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; Uncultured bacterium,Uncultured bacterium, HQ883956.1.1540,PanBac,No,6234,1,1608,566.7272727272727,393,512.5836694451143,1608,1,1827.237936,0.140624,1827.097312,12992.784389577882,BFTMS23111415,BFTMS23111401,PanBac_strict
3965,Bacillus subtilis subsp. spizizenii str. W23; CP002183.160851.162409,CP002183.160851.162409,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis subsp. spizizenii str. W23,Bacillus subtilis subsp. spizizenii str. W23, CP002183.160851.162409,PanBac,No,6261,0,1720,569.1818181818181,377,660.2662823712594,1545,0,1755.64839,0.0,1755.64839,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
88,Staphylococcus aureus; JN084549.1.1431,JN084549.1.1431,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, JN084549.1.1431,PanBac,No,5697,0,1480,517.9090909090909,276,526.0396286489174,1378,0,1565.879276,0.0,1565.879276,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
3466,Salmonella enterica subsp. enterica serovar Typhi; LT904877.4419415.4420941,LT904877.4419415.4420941,Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica subsp. enterica serovar Typhi,Salmonella enterica subsp. enterica serovar Typhi, LT904877.4419415.4420941,PanBac,No,3590,0,1020,326.3636363636364,120,375.6400598251663,1020,1,1159.06884,0.140624,1158.928216,8241.32591876209,BFTMS23111415,BFTMS23111401,PanBac_strict
4073,Bacillus subtilis subsp. spizizenii str. W23; CP002183.613684.615242,CP002183.613684.615242,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus subtilis subsp. spizizenii str. W23,Bacillus subtilis subsp. spizizenii str. W23, CP002183.613684.615242,PanBac,No,4056,0,1081,368.72727272727275,302,415.00990130576184,945,0,1073.84319,0.0,1073.84319,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
128,Enterococcus faecalis; KY630654.1.1452,KY630654.1.1452,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis,Enterococcus faecalis, KY630654.1.1452,PanBac,No,4174,0,987,379.45454545454544,235,409.442392440344,855,0,971.57241,0.0,971.57241,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
648,Staphylococcus aureus; CP012970.1913319.1914863,CP012970.1913319.1914863,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,Staphylococcus aureus, CP012970.1913319.1914863,PanBac,No,3390,0,834,308.1818181818182,127,310.7043025713735,834,0,947.709228,0.0,947.709228,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
1332,Staphylococcus aureus subsp. aureus ECT-R 2; FR714927.2042131.2043670,FR714927.2042131.2043670,Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus subsp. aureus ECT-R 2,Staphylococcus aureus subsp. aureus ECT-R 2, FR714927.2042131.2043670,PanBac,No,3927,0,909,357.0,311,302.9577528303245,775,0,880.66505,0.0,880.66505,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
89,Enterococcus sp. L177(2011); JN104594.1.1492,JN104594.1.1492,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus sp. L177(2011),Enterococcus sp. L177(2011), JN104594.1.1492,PanBac,No,3371,0,799,306.45454545454544,252,335.48870730215754,759,0,862.483578,0.0,862.483578,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
351,Bacillus halotolerans; JN585825.1.1407,JN585825.1.1407,Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus halotolerans,Bacillus halotolerans, JN585825.1.1407,PanBac,No,3394,0,720,308.54545454545456,362,313.98769518449717,720,0,818.16624,0.0,818.16624,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
4370,Enterococcus faecalis ARO1/DG; CP022488.2668529.2670093,CP022488.2668529.2670093,Bacteria; Firmicutes; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus; Enterococcus faecalis ARO1/DG,Enterococcus faecalis ARO1/DG, CP022488.2668529.2670093,PanBac,No,3394,0,806,308.54545454545456,264,339.26195296153196,712,0,809.075504,0.0,809.075504,inf,BFTMS23111415,BFTMS23111401,PanBac_strict
